City,Date,PM2.5,PM10,NO2,SO2,CO,O3,AQI
Ahmedabad,2015-06-17,32.37,107.67,14.36,2.17,7.53,12.17,195.0
Ahmedabad,2015-06-18,34.74,107.67,13.51,4.11,7.59,12.22,187.0
Ahmedabad,2015-06-19,32.56,107.67,13.91,4.04,7.34,11.85,181.0
Ahmedabad,2015-06-20,29.28,107.67,11.68,4.01,7.55,12.64,179.0
Ahmedabad,2015-06-21,20.46,107.67,10.61,5.62,7.15,12.7,188.0
Ahmedabad,2015-06-22,26.07,107.67,11.07,4.1,7.99,10.57,190.0
Ahmedabad,2015-06-23,21.43,107.67,11.16,4.99,7.45,7.38,185.0
Ahmedabad,2015-06-24,11.91,107.67,10.1,10.86,7.34,5.47,189.0
Ahmedabad,2015-06-25,57.75,107.67,9.68,12.28,8.68,3.06,196.0
Ahmedabad,2015-06-26,66.39,107.67,12.79,11.09,8.58,4.96,201.0
Ahmedabad,2015-06-27,62.61,107.67,9.83,12.31,9.15,6.44,231.0
Ahmedabad,2015-06-28,47.5,107.67,9.53,13.91,8.07,7.28,196.0
Ahmedabad,2015-06-29,111.8,107.67,11.51,5.27,9.23,5.99,220.0
Ahmedabad,2015-06-30,30.0,107.67,13.59,8.09,8.87,6.31,244.0
Ahmedabad,2015-07-01,4.66,107.67,10.9,7.31,9.01,6.38,223.0
Ahmedabad,2015-07-02,48.72,107.67,11.94,5.72,9.56,6.61,230.0
Ahmedabad,2015-07-03,49.7,107.67,9.81,6.78,9.43,6.42,243.0
Ahmedabad,2015-07-04,48.1,107.67,9.53,9.33,8.03,7.6,215.0
Ahmedabad,2015-07-05,47.43,107.67,9.45,7.93,8.11,7.08,199.0
Ahmedabad,2015-07-06,51.74,107.67,12.38,10.05,8.91,5.78,200.0
Ahmedabad,2015-07-07,42.68,107.67,11.08,10.87,9.74,4.44,226.0
Ahmedabad,2015-07-08,38.45,107.67,7.8,10.28,10.55,3.24,241.0
Ahmedabad,2015-07-09,46.69,107.67,0.17,10.25,11.48,5.76,222.0
Ahmedabad,2015-07-10,55.27,107.67,0.12,12.7,11.55,6.55,223.0
Ahmedabad,2015-07-11,149.03,107.67,0.16,10.07,11.49,7.27,248.0
Ahmedabad,2015-07-12,86.57,107.67,0.17,11.09,11.47,6.53,300.0
Ahmedabad,2015-07-13,111.77,107.67,0.24,7.73,11.3,4.67,232.0
Ahmedabad,2015-07-14,151.4,107.67,0.36,7.8,10.8,5.46,330.0
Ahmedabad,2015-07-15,51.35,107.67,2.69,10.0,8.0,5.76,223.0
Ahmedabad,2015-07-16,65.37,107.67,8.07,16.31,0.64,8.02,105.0
Ahmedabad,2015-07-17,56.28,107.67,8.02,18.93,0.6,6.2,101.0
Ahmedabad,2015-07-18,48.17,107.67,8.0,18.99,0.65,7.97,93.0
Ahmedabad,2015-07-19,33.56,107.67,7.89,11.28,0.72,10.18,67.0
Ahmedabad,2015-07-20,31.3,107.67,8.1,10.29,0.55,7.44,60.0
Ahmedabad,2015-07-22,57.11,107.67,8.28,14.58,0.55,2.6,90.0
Ahmedabad,2015-07-23,34.72,107.67,9.73,13.62,0.1,4.87,78.0
Ahmedabad,2015-07-24,29.22,107.67,9.57,13.58,0.06,5.08,48.0
Ahmedabad,2015-07-25,29.79,107.67,8.64,15.11,0.14,5.34,53.0
Ahmedabad,2015-07-26,59.95,107.67,8.78,11.52,0.18,2.79,91.0
Ahmedabad,2015-07-27,19.2,107.67,9.45,11.23,1.52,4.61,70.0
Ahmedabad,2015-07-28,19.52,107.67,11.26,11.56,5.89,4.4,157.0
Ahmedabad,2015-07-29,35.16,107.67,10.89,14.7,5.75,3.67,158.0
Ahmedabad,2015-07-30,33.03,107.67,10.58,12.95,7.01,3.53,169.0
Ahmedabad,2015-07-31,40.95,107.67,10.47,19.8,6.92,3.38,174.0
Ahmedabad,2015-08-01,40.29,107.67,10.52,8.27,6.74,3.57,173.0
Ahmedabad,2015-08-02,41.16,107.67,10.51,13.48,6.91,3.69,172.0
Ahmedabad,2015-08-03,36.12,107.67,11.56,13.62,7.21,6.08,190.0
Ahmedabad,2015-08-04,28.51,107.67,20.52,5.69,6.69,7.65,171.0
Ahmedabad,2015-08-05,31.59,107.67,20.42,9.23,6.99,7.9,168.0
Ahmedabad,2015-08-06,42.56,107.67,20.4,6.28,7.17,9.86,172.0
Ahmedabad,2015-08-07,48.12,107.67,20.3,6.77,7.14,12.78,173.0
Ahmedabad,2015-08-08,37.09,107.67,20.21,8.66,7.22,7.94,175.0
Ahmedabad,2015-08-09,33.4,107.67,20.09,9.95,7.4,8.39,179.0
Ahmedabad,2015-08-10,38.64,107.67,20.21,9.74,7.35,6.28,174.0
Ahmedabad,2015-08-11,40.49,107.67,20.23,8.92,7.48,21.51,176.0
Ahmedabad,2015-08-12,41.37,107.67,20.2,11.73,7.47,19.8,179.0
Ahmedabad,2015-08-13,44.56,107.67,20.06,11.23,7.49,22.77,175.0
Ahmedabad,2015-08-14,65.68,107.67,19.94,8.21,7.57,30.21,177.0
Ahmedabad,2015-08-15,33.34,107.67,20.27,6.41,7.3,32.95,175.0
Ahmedabad,2015-08-16,39.17,107.67,20.24,9.17,7.35,26.64,174.0
Ahmedabad,2015-08-17,34.0,107.67,20.1,9.64,7.41,17.17,179.0
Ahmedabad,2015-08-18,36.38,107.67,20.14,10.65,7.31,13.35,177.0
Ahmedabad,2015-08-19,38.35,107.67,20.16,9.33,7.41,18.59,180.0
Ahmedabad,2015-08-20,38.5,107.67,19.67,10.37,12.38,16.33,274.0
Ahmedabad,2015-08-21,39.61,107.67,14.84,10.76,17.31,5.38,310.0
Ahmedabad,2015-08-22,61.79,107.67,14.82,12.39,17.24,8.06,303.0
Ahmedabad,2015-08-23,43.22,107.67,14.82,11.68,17.17,37.87,302.0
Ahmedabad,2015-08-24,33.41,107.67,14.86,12.96,17.12,86.83,302.0
Ahmedabad,2015-08-25,36.9,107.67,14.85,4.73,17.08,54.01,302.0
Ahmedabad,2015-08-26,36.36,107.67,14.79,8.86,17.11,77.3,302.0
Ahmedabad,2015-08-27,32.64,107.67,14.84,7.05,17.01,62.31,302.0
Ahmedabad,2015-08-28,38.23,107.67,14.89,10.9,17.07,55.94,302.0
Ahmedabad,2015-08-29,39.86,107.67,14.83,10.02,16.98,96.83,301.0
Ahmedabad,2015-08-30,72.74,107.67,14.84,4.23,17.04,99.03,302.0
Ahmedabad,2015-08-31,43.2,107.67,14.86,5.96,17.05,59.99,302.0
Ahmedabad,2015-09-01,63.2,107.67,14.82,3.69,17.03,7.57,302.0
Ahmedabad,2015-09-02,64.73,107.67,14.82,6.45,17.01,12.13,302.0
Ahmedabad,2015-09-03,65.28,107.67,14.85,6.13,17.04,18.2,301.0
Ahmedabad,2015-09-04,67.86,107.67,14.87,8.87,16.97,16.53,302.0
Ahmedabad,2015-09-05,52.4,107.67,14.81,9.89,16.97,22.55,301.0
Ahmedabad,2015-09-06,33.33,107.67,14.89,6.88,16.95,33.58,302.0
Ahmedabad,2015-09-07,29.52,107.67,14.88,8.56,16.94,40.65,301.0
Ahmedabad,2015-09-08,15.53,107.67,14.85,15.13,17.0,34.18,301.0
Ahmedabad,2015-09-10,50.24,107.67,12.31,11.63,9.46,13.61,226.0
Ahmedabad,2015-09-11,61.77,107.67,15.43,8.1,8.68,18.69,276.0
Ahmedabad,2015-09-12,46.93,107.67,11.47,7.92,7.14,19.03,209.0
Ahmedabad,2015-09-13,43.01,107.67,9.96,11.58,6.82,20.59,179.0
Ahmedabad,2015-09-14,42.06,107.67,11.35,11.63,8.43,28.09,197.0
Ahmedabad,2015-09-15,44.94,107.67,10.94,5.85,7.14,59.38,229.0
Ahmedabad,2015-09-16,29.58,107.67,9.94,8.82,6.61,42.9,170.0
Ahmedabad,2015-09-17,32.15,107.67,9.7,9.2,6.5,39.02,164.0
Ahmedabad,2015-09-18,36.33,107.67,12.88,8.28,7.68,43.35,195.0
Ahmedabad,2015-09-19,24.46,107.67,10.99,12.59,8.45,44.55,220.0
Ahmedabad,2015-09-22,59.29,107.67,9.68,5.98,9.21,7.69,217.0
Ahmedabad,2015-09-23,65.32,107.67,9.62,3.69,10.61,4.74,254.0
Ahmedabad,2015-09-24,47.39,107.67,10.48,7.72,9.26,7.71,241.0
Ahmedabad,2015-09-25,43.88,107.67,19.75,4.83,8.69,11.53,244.0
Ahmedabad,2015-09-26,28.35,107.67,13.62,7.47,9.05,15.95,243.0
Ahmedabad,2015-09-27,3.59,107.67,14.17,9.6,11.26,20.38,244.0
Ahmedabad,2015-09-28,3.04,107.67,21.5,13.73,16.31,30.05,327.0
Ahmedabad,2015-09-29,19.14,107.67,30.6,10.96,10.33,29.36,390.0
Ahmedabad,2015-09-30,69.12,107.67,32.41,15.63,8.85,28.45,231.0
Ahmedabad,2015-10-01,76.41,107.67,34.7,15.44,17.96,31.49,396.0
Ahmedabad,2015-10-02,102.49,107.67,37.85,27.32,33.31,24.85,731.0
Ahmedabad,2015-10-03,127.94,107.67,28.38,25.59,11.14,15.17,466.0
Ahmedabad,2015-10-04,87.18,107.67,21.51,6.98,7.83,23.17,230.0
Ahmedabad,2015-10-05,99.73,107.67,30.23,32.74,20.16,20.91,309.0
Ahmedabad,2015-10-06,84.15,107.67,32.1,19.37,15.83,23.12,519.0
Ahmedabad,2015-10-07,92.12,107.67,32.5,31.75,18.21,29.97,397.0
Ahmedabad,2015-10-08,94.02,107.67,36.97,24.88,27.14,23.51,517.0
Ahmedabad,2015-10-09,150.27,107.67,34.86,26.35,15.9,31.96,653.0
Ahmedabad,2015-10-10,118.91,107.67,29.22,79.47,5.42,24.89,355.0
Ahmedabad,2015-10-11,91.41,107.67,23.45,25.44,5.19,6.25,227.0
Ahmedabad,2015-10-12,95.9,107.67,33.63,30.06,10.38,27.34,316.0
Ahmedabad,2015-10-13,137.87,107.67,32.98,21.89,20.2,17.41,536.0
Ahmedabad,2015-10-14,90.71,107.67,25.73,17.89,18.12,26.02,370.0
Ahmedabad,2015-10-15,108.68,107.67,32.87,22.59,17.03,19.56,551.0
Ahmedabad,2015-10-16,98.79,107.67,31.2,26.09,17.72,30.19,393.0
Ahmedabad,2015-10-17,145.75,107.67,34.71,24.66,20.61,95.94,671.0
Ahmedabad,2015-10-18,179.43,107.67,39.42,39.15,52.33,112.01,969.0
Ahmedabad,2015-10-19,170.52,107.67,35.22,34.03,15.49,53.98,471.0
Ahmedabad,2015-10-20,203.4,107.67,36.63,94.3,23.03,5.36,529.0
Ahmedabad,2015-10-22,64.66,107.67,23.83,34.4,4.79,24.76,213.0
Ahmedabad,2015-10-23,78.14,107.67,28.93,44.91,10.58,35.56,297.0
Ahmedabad,2015-10-24,100.17,107.67,34.16,27.73,32.27,23.95,605.0
Ahmedabad,2015-10-25,147.35,107.67,39.1,46.09,34.64,26.43,691.0
Ahmedabad,2015-10-26,206.89,107.67,55.67,20.47,145.32,38.0,971.0
Ahmedabad,2015-10-28,89.64,107.67,25.75,44.92,5.42,43.04,270.0
Ahmedabad,2015-10-29,51.72,107.67,21.15,37.31,1.89,66.58,188.0
Ahmedabad,2015-10-30,54.59,107.67,18.33,19.08,2.31,42.43,114.0
Ahmedabad,2015-10-31,46.5,107.67,12.1,13.73,1.22,61.56,143.0
Ahmedabad,2015-11-03,147.18,107.67,36.87,21.24,33.06,131.12,557.0
Ahmedabad,2015-11-05,207.13,107.67,35.31,50.33,28.41,39.69,536.0
Ahmedabad,2015-11-06,191.01,107.67,50.11,40.78,39.61,27.9,354.0
Ahmedabad,2015-11-07,192.35,107.67,29.04,29.18,9.39,33.21,381.0
Ahmedabad,2015-11-08,127.64,107.67,31.91,26.94,6.74,47.33,355.0
Ahmedabad,2016-06-28,27.29,107.67,28.12,1.61,9.81,39.26,272.0
Ahmedabad,2016-06-29,41.43,107.67,31.82,1.7,10.45,28.05,253.0
Ahmedabad,2016-06-30,30.16,107.67,15.99,1.6,10.41,23.76,256.0
Ahmedabad,2016-07-01,29.42,107.67,10.11,1.57,9.39,16.42,257.0
Ahmedabad,2016-07-02,20.87,107.67,7.49,1.6,9.04,14.27,213.0
Ahmedabad,2016-07-03,35.08,107.67,6.52,1.63,8.36,19.44,218.0
Ahmedabad,2016-07-04,40.23,107.67,2.79,1.69,8.68,15.16,214.0
Ahmedabad,2016-07-05,54.25,107.67,2.78,1.42,8.11,18.46,207.0
Ahmedabad,2016-07-06,49.04,107.67,1.65,1.44,7.38,15.33,169.0
Ahmedabad,2016-07-14,38.13,107.67,48.06,23.13,46.51,39.69,1842.0
Ahmedabad,2016-07-15,36.47,107.67,37.13,19.01,0.98,39.69,72.0
Ahmedabad,2016-07-16,40.9,107.67,36.77,17.01,4.09,39.69,91.0
Ahmedabad,2016-07-17,34.19,107.67,34.38,14.17,6.02,39.69,124.0
Ahmedabad,2016-07-18,32.92,107.67,36.8,14.66,4.92,39.69,145.0
Ahmedabad,2016-07-19,41.39,107.67,54.7,15.75,100.77,39.69,499.0
Ahmedabad,2016-07-20,31.71,107.67,22.75,15.47,1.67,39.69,557.0
Ahmedabad,2016-07-21,33.48,107.67,30.88,14.26,1.94,39.69,114.0
Ahmedabad,2016-07-22,30.8,107.67,25.15,17.02,2.57,39.69,148.0
Ahmedabad,2016-07-23,30.47,107.67,38.78,15.8,1.64,39.69,99.0
Ahmedabad,2016-07-24,34.64,107.67,39.23,15.07,6.67,39.69,117.0
Ahmedabad,2016-07-25,43.71,107.67,39.95,15.37,8.85,39.69,275.0
Ahmedabad,2016-07-26,46.52,107.67,33.24,15.0,3.87,6.9,183.0
Ahmedabad,2016-07-27,36.54,107.67,20.32,16.78,18.76,11.46,336.0
Ahmedabad,2016-07-28,36.87,107.67,23.28,13.74,26.51,4.91,468.0
Ahmedabad,2016-07-29,46.19,107.67,29.66,14.31,86.72,4.77,776.0
Ahmedabad,2016-07-30,48.44,107.67,30.66,15.67,84.21,4.26,805.0
Ahmedabad,2016-07-31,40.18,107.67,28.27,14.63,72.58,4.33,705.0
Ahmedabad,2016-08-01,33.5,107.67,30.42,14.95,79.53,4.81,740.0
Ahmedabad,2016-08-02,29.36,107.67,29.75,15.31,83.72,3.68,751.0
Ahmedabad,2016-08-03,44.59,107.67,29.34,14.18,89.85,4.91,798.0
Ahmedabad,2016-08-04,50.65,107.67,13.0,13.06,10.63,6.21,494.0
Ahmedabad,2016-08-05,33.93,107.67,13.41,19.54,5.06,6.16,234.0
Ahmedabad,2016-08-08,93.34,107.67,27.88,13.18,9.72,1.4,327.0
Ahmedabad,2016-08-09,38.06,107.67,22.63,14.75,6.96,3.47,257.0
Ahmedabad,2016-08-10,20.19,107.67,18.13,15.01,10.41,4.9,300.0
Ahmedabad,2016-08-11,10.45,107.67,17.81,14.26,12.59,5.87,309.0
Ahmedabad,2016-08-12,29.87,107.67,14.69,14.56,13.53,9.6,316.0
Ahmedabad,2016-08-13,60.18,107.67,13.25,15.3,8.64,13.19,296.0
Ahmedabad,2016-08-14,85.1,107.67,12.91,14.51,8.14,12.45,240.0
Ahmedabad,2016-08-15,55.55,107.67,13.45,16.6,8.38,11.84,220.0
Ahmedabad,2016-08-16,170.22,107.67,17.88,14.21,15.47,10.05,460.0
Ahmedabad,2016-08-17,35.05,107.67,16.07,16.13,7.66,9.81,341.0
Ahmedabad,2016-08-18,37.68,107.67,9.49,16.15,6.39,13.7,216.0
Ahmedabad,2016-08-19,32.78,107.67,12.1,12.29,6.08,13.13,174.0
Ahmedabad,2016-08-20,53.5,107.67,14.19,16.32,12.0,5.48,252.0
Ahmedabad,2016-08-21,48.24,107.67,15.52,16.16,10.91,5.98,283.0
Ahmedabad,2016-08-22,63.27,107.67,13.23,24.81,8.82,8.68,282.0
Ahmedabad,2016-08-23,40.43,107.67,10.29,12.24,7.42,5.0,189.0
Ahmedabad,2016-08-24,31.15,107.67,9.94,21.48,8.91,12.97,204.0
Ahmedabad,2016-08-25,33.76,107.67,12.22,17.68,9.15,8.36,207.0
Ahmedabad,2016-08-26,35.95,107.67,9.75,16.66,10.05,8.61,218.0
Ahmedabad,2016-08-27,58.07,107.67,8.67,21.2,10.51,19.87,243.0
Ahmedabad,2016-08-28,46.04,107.67,8.75,17.27,9.72,10.35,219.0
Ahmedabad,2016-08-29,52.27,107.67,9.23,19.62,10.79,9.14,247.0
Ahmedabad,2016-08-30,46.68,107.67,9.3,17.77,10.08,15.97,235.0
Ahmedabad,2016-08-31,44.59,107.67,7.39,17.62,10.47,11.2,234.0
Ahmedabad,2016-09-01,30.81,107.67,7.86,17.58,9.36,15.72,217.0
Ahmedabad,2016-09-02,47.67,107.67,8.39,16.95,9.63,18.89,222.0
Ahmedabad,2016-09-03,35.69,107.67,8.14,16.72,9.38,14.63,241.0
Ahmedabad,2016-09-04,36.44,107.67,7.07,17.76,9.59,14.99,225.0
