PM2.5,PM10,NO2,SO2,CO,O3,AQI,Category
98.2,174.2,47.1,1.0,2.71,37.2,222.4,Poor
88.6,173.4,36.9,22.5,1.22,40.6,195.6,Moderate
16.7,21.4,7.8,0.0,0.31,0.0,24.6,Good
39.8,74.6,37.2,35.4,1.07,60.5,76.3,Satisfactory
0.0,0.0,16.8,0.0,0.58,14.6,30.7,Good
66.4,116.7,53.8,31.4,1.58,65.8,119.3,Moderate
64.7,84.1,41.6,18.8,2.01,59.1,119.5,Moderate
82.8,122.1,34.2,29.1,1.88,73.3,175.4,Moderate
15.4,41.4,45.2,0.4,0.0,13.2,64.2,Satisfactory
140.3,210.5,113.2,38.5,2.92,142.6,314.5,Very Poor
13.9,18.1,0.0,0.0,0.0,15.7,20.9,Good
5.6,19.9,17.0,14.3,0.0,22.5,26.2,Good
107.8,215.2,94.3,36.9,2.61,121.2,259.6,Poor
0.0,9.4,10.3,0.0,0.0,39.7,43.0,Good
144.2,194.7,83.3,56.1,2.71,156.4,319.8,Very Poor
7.5,19.4,22.6,15.6,0.0,0.0,22.8,Good
52.2,90.0,65.4,13.9,1.26,36.6,89.7,Satisfactory
53.4,89.8,25.4,6.4,1.11,17.0,89.8,Satisfactory
77.8,145.6,64.3,39.9,1.84,65.2,155.5,Moderate
34.6,31.7,28.8,19.3,0.8,44.7,57.8,Satisfactory
2.5,0.0,37.0,29.3,1.45,30.7,76.9,Satisfactory
6.7,3.2,2.8,3.0,0.17,18.4,18.9,Good
78.1,149.3,29.7,0.5,2.03,37.7,159.5,Moderate
66.2,115.2,19.4,0.0,0.57,42.8,116.1,Moderate
21.7,31.6,20.7,7.2,0.0,38.9,38.5,Good
0.0,0.0,9.4,23.1,0.0,0.0,33.3,Good
127.8,241.6,103.6,37.9,3.55,123.6,304.5,Very Poor
16.2,42.2,23.1,9.0,1.01,46.2,50.6,Satisfactory
2.9,35.5,14.0,2.3,0.45,0.0,32.6,Good
55.6,96.9,45.8,21.2,1.34,19.9,92.6,Satisfactory
48.0,86.4,20.3,10.6,1.44,2.1,89.2,Satisfactory
161.1,320.8,96.1,54.7,2.46,93.2,328.5,Very Poor
2.7,1.3,23.8,17.1,1.25,52.2,60.6,Satisfactory
148.8,229.1,95.4,51.3,2.97,133.5,322.7,Very Poor
106.1,213.5,78.2,38.7,2.93,134.8,253.6,Poor
124.0,221.5,60.5,8.4,1.94,72.6,307.0,Very Poor
31.5,47.9,0.0,0.2,0.65,48.4,53.6,Satisfactory
67.7,108.5,50.0,26.1,1.17,78.0,125.3,Moderate
50.4,81.6,22.4,31.3,0.64,39.5,86.8,Satisfactory
75.6,87.2,5.1,26.6,0.56,86.2,150.4,Moderate
45.7,108.3,46.1,24.2,1.14,50.6,103.9,Moderate
64.3,105.7,29.3,28.8,0.27,31.1,112.2,Moderate
0.0,22.7,21.5,0.0,1.29,39.4,66.1,Satisfactory
40.9,59.7,40.3,21.4,0.12,0.0,68.7,Satisfactory
6.6,6.0,4.1,19.1,0.57,11.6,20.1,Good
22.1,30.8,36.9,1.4,0.06,24.4,43.2,Good
84.0,146.4,48.9,17.2,1.15,60.5,181.2,Moderate
35.9,89.8,27.7,6.5,0.0,52.7,92.0,Satisfactory
12.4,22.8,19.7,0.0,0.1,30.9,27.1,Good
0.0,36.2,0.0,17.6,0.0,0.0,36.8,Good
65.0,96.1,38.4,15.8,0.66,18.4,116.8,Moderate
16.7,31.8,34.5,23.0,0.0,14.8,45.0,Good
59.1,95.4,32.6,0.0,0.0,5.3,95.7,Satisfactory
49.1,95.4,47.6,10.4,2.0,63.4,99.5,Satisfactory
81.9,137.7,29.2,7.1,0.0,33.4,170.9,Moderate
65.8,111.8,29.0,22.5,1.08,18.1,117.3,Moderate
152.6,290.2,81.9,34.4,2.85,151.3,321.9,Very Poor
21.8,39.7,10.8,10.5,0.0,23.6,39.2,Good
37.7,67.2,50.8,11.8,0.52,18.9,66.1,Satisfactory
23.4,43.9,0.0,17.4,1.02,12.6,44.6,Good
29.8,41.1,20.4,22.4,1.11,30.2,54.6,Satisfactory
4.7,0.0,30.3,21.2,0.86,6.4,44.2,Good
77.5,89.9,69.8,21.4,1.66,70.7,157.6,Moderate
7.8,25.3,13.9,25.4,0.0,1.4,33.3,Good
135.6,258.5,104.6,48.1,2.52,123.5,317.7,Very Poor
0.0,0.0,0.0,14.5,0.09,13.2,19.1,Good
45.8,94.8,24.1,21.4,1.15,16.3,98.0,Satisfactory
91.2,119.9,57.5,44.4,1.45,58.0,203.9,Poor
35.9,46.0,12.0,23.5,1.7,32.9,84.3,Satisfactory
79.7,152.1,53.1,37.6,1.1,69.8,168.5,Moderate
142.0,200.9,98.2,37.5,1.72,120.2,321.1,Very Poor
174.1,286.6,112.6,51.4,2.68,78.0,340.9,Very Poor
25.1,46.0,36.3,14.4,1.69,22.5,85.0,Satisfactory
33.2,11.1,21.6,7.1,0.14,33.3,50.8,Satisfactory
33.2,50.5,0.7,9.2,1.03,0.0,55.7,Satisfactory
116.4,198.7,83.2,36.0,3.18,110.4,293.8,Poor
130.8,171.4,65.3,26.0,1.85,115.3,309.8,Very Poor
96.4,181.7,44.8,27.5,2.37,82.9,220.6,Poor
24.2,34.5,13.2,12.7,0.88,30.5,42.0,Good
156.5,260.5,86.5,44.2,2.99,114.7,331.0,Very Poor
83.7,98.8,53.6,25.7,1.46,62.4,173.5,Moderate
2.8,16.1,42.5,18.3,0.52,70.5,66.9,Satisfactory
60.4,132.7,24.2,16.9,0.97,32.3,124.3,Moderate
5.3,26.7,43.5,25.3,0.29,26.8,51.0,Satisfactory
127.7,216.6,108.9,38.4,2.54,76.3,303.5,Very Poor
45.4,85.1,51.6,28.8,1.16,73.5,83.6,Satisfactory
41.7,75.8,26.4,13.1,0.65,29.8,80.6,Satisfactory
40.1,80.6,45.6,17.7,0.79,44.0,75.8,Satisfactory
19.5,53.4,61.5,20.4,1.09,0.0,75.2,Satisfactory
16.8,20.2,0.0,21.5,0.3,39.8,46.0,Good
23.6,53.9,57.4,1.7,1.09,25.7,71.4,Satisfactory
11.5,26.3,31.8,18.7,1.38,37.0,70.1,Satisfactory
10.2,28.2,6.5,9.8,0.35,37.5,37.4,Good
13.0,6.2,19.1,27.7,0.0,97.8,100.9,Moderate
136.5,224.2,97.7,49.6,2.68,106.1,312.2,Very Poor
155.3,295.9,96.9,14.6,2.97,113.9,327.1,Very Poor
70.2,115.2,58.1,16.3,0.87,52.5,136.7,Moderate
7.3,22.4,22.9,11.2,0.04,23.6,31.0,Good
93.1,176.2,68.1,25.7,1.12,61.7,208.1,Poor
38.2,44.4,0.0,16.1,0.84,18.7,65.6,Satisfactory
36.8,25.5,0.6,0.0,0.0,31.6,60.7,Satisfactory
11.2,17.6,28.9,16.8,1.52,8.8,67.0,Satisfactory
45.7,82.5,20.6,22.1,0.35,44.5,84.0,Satisfactory
18.9,35.8,27.6,0.0,0.49,26.8,34.2,Good
81.0,123.4,51.9,22.7,1.64,81.5,167.6,Moderate
36.5,42.8,20.9,22.7,0.97,38.9,63.5,Satisfactory
39.3,81.5,19.3,0.0,0.77,63.5,84.3,Satisfactory
28.4,38.0,13.3,8.0,0.05,8.7,49.3,Good
42.1,65.3,21.0,0.0,0.0,4.0,66.5,Satisfactory
66.7,121.6,37.3,2.6,1.36,33.5,124.4,Moderate
56.6,90.9,38.5,17.3,2.12,41.2,106.5,Moderate
81.8,120.6,43.8,24.4,1.58,45.0,175.0,Moderate
7.7,8.7,0.0,0.0,0.26,63.3,65.6,Satisfactory
28.8,47.2,0.0,17.1,0.72,29.4,49.3,Good
18.4,34.2,20.9,2.5,0.07,17.0,38.9,Good
61.8,102.2,30.6,16.4,0.73,64.8,101.1,Moderate
1.4,0.5,0.0,4.2,1.19,15.4,60.2,Satisfactory
127.9,176.7,82.4,40.8,3.28,121.2,302.7,Very Poor
82.9,168.4,36.8,17.9,0.93,60.3,177.8,Moderate
48.6,74.6,15.5,34.9,0.04,38.7,87.1,Satisfactory
18.1,24.4,32.6,0.0,1.13,0.0,55.5,Satisfactory
27.0,45.2,0.0,10.6,1.37,0.0,69.2,Satisfactory
118.8,176.6,88.3,37.6,2.88,146.1,295.3,Poor
45.8,82.5,34.3,9.6,0.2,15.0,78.7,Satisfactory
54.1,95.4,32.0,9.6,0.81,77.0,94.6,Satisfactory
2.8,0.0,2.3,19.2,1.07,3.0,47.9,Good
98.2,115.3,65.4,13.9,1.93,65.3,224.3,Poor
22.3,30.5,13.6,11.8,1.35,0.0,72.3,Satisfactory
44.1,65.4,41.8,12.7,1.6,6.0,79.7,Satisfactory
31.0,43.4,0.0,16.0,1.06,43.1,56.6,Satisfactory
56.6,72.8,56.8,21.0,1.52,72.0,92.8,Satisfactory
31.8,4.2,0.0,0.0,0.7,0.0,55.0,Satisfactory
51.3,95.4,13.3,9.4,1.07,50.7,94.7,Satisfactory
107.2,163.2,53.3,17.9,1.14,75.5,258.6,Poor
160.0,222.6,65.5,54.5,2.14,102.3,331.5,Very Poor
0.0,2.4,36.0,22.9,0.68,70.9,71.6,Satisfactory
88.0,180.0,42.7,20.4,1.01,73.8,195.5,Moderate
90.7,150.7,35.6,22.1,1.91,82.0,201.4,Poor
76.6,77.4,46.6,34.9,1.85,75.0,155.4,Moderate
54.4,104.1,19.4,0.7,0.0,36.9,101.3,Moderate
24.7,63.2,37.3,20.8,0.16,59.2,63.9,Satisfactory
133.4,190.7,72.6,30.5,1.88,132.3,308.4,Very Poor
48.7,81.9,0.0,0.0,0.98,11.9,80.3,Satisfactory
159.7,295.6,82.6,30.7,2.43,115.2,327.7,Very Poor
22.9,45.9,16.6,11.7,0.38,52.8,55.9,Satisfactory
19.8,4.5,26.7,0.0,0.38,14.9,34.1,Good
79.4,99.3,47.9,42.7,2.23,39.0,167.1,Moderate
41.8,87.4,0.0,0.0,0.87,20.4,89.0,Satisfactory
24.8,58.2,29.5,3.7,0.34,0.0,59.7,Satisfactory
39.8,82.6,36.5,3.8,0.83,31.5,83.3,Satisfactory
124.6,193.3,63.9,61.5,3.33,84.2,305.6,Very Poor
85.2,120.1,40.2,19.1,1.1,48.4,183.7,Moderate
63.7,101.1,55.6,31.0,1.8,66.5,114.5,Moderate
46.3,94.4,0.6,6.4,0.7,10.8,97.6,Satisfactory
89.3,143.6,38.8,11.7,1.57,8.2,199.7,Moderate
45.7,49.6,43.8,34.6,1.37,64.1,76.2,Satisfactory
0.0,0.0,33.7,0.0,0.77,9.4,41.2,Good
28.9,39.7,20.6,15.7,0.19,2.8,44.8,Good
25.5,22.4,8.2,18.8,1.11,46.0,54.9,Satisfactory
109.1,160.0,84.6,35.5,2.73,169.7,264.7,Poor
71.7,141.6,61.1,46.6,0.99,74.5,136.3,Moderate
0.0,11.2,26.6,15.2,0.0,16.1,31.2,Good
0.0,36.4,18.5,0.0,0.08,35.4,42.7,Good
68.8,88.1,15.0,19.3,0.0,35.1,130.4,Moderate
60.5,69.6,31.8,5.0,0.64,15.1,103.6,Moderate
39.4,67.8,23.5,13.5,2.15,12.8,106.3,Moderate
61.9,85.2,54.4,17.7,1.03,33.9,110.1,Moderate
37.2,74.6,16.0,13.4,1.46,25.9,74.5,Satisfactory
19.2,49.4,0.0,0.0,0.47,39.0,47.9,Good
20.4,21.3,18.6,12.2,0.54,0.0,36.8,Good
103.5,144.9,34.9,24.0,1.56,77.0,247.0,Poor
69.9,133.9,29.3,28.1,1.04,17.8,137.3,Moderate
32.0,50.4,18.9,8.0,0.52,49.0,56.5,Satisfactory
169.3,255.3,115.1,41.8,2.22,97.0,334.6,Very Poor
2.3,3.9,25.5,0.0,1.12,25.2,59.1,Satisfactory
96.5,126.9,54.6,31.5,0.97,47.1,223.6,Poor
0.0,12.7,0.0,11.5,0.67,1.1,35.4,Good
0.0,21.5,17.2,0.0,0.41,9.7,23.6,Good
126.0,197.5,92.7,48.7,1.87,125.1,306.4,Very Poor
130.1,173.4,87.4,42.7,2.81,138.6,311.0,Very Poor
0.0,9.3,31.9,9.9,0.91,55.2,58.3,Satisfactory
164.7,354.6,82.7,59.6,2.23,140.6,335.9,Very Poor
104.0,208.4,56.5,50.3,3.08,98.2,247.1,Poor
65.8,120.3,57.4,14.0,1.35,61.8,117.1,Moderate
68.3,125.9,38.8,45.9,1.29,58.3,128.7,Moderate
28.5,70.9,18.2,10.6,0.38,26.2,63.3,Satisfactory
12.1,26.3,8.9,23.6,1.15,5.7,56.9,Satisfactory
1.9,1.0,0.0,12.2,0.67,0.0,36.4,Good
119.4,161.5,100.3,43.7,2.87,99.7,297.3,Poor
138.9,276.3,84.9,36.5,2.55,79.0,313.0,Very Poor
12.3,16.3,19.2,14.7,0.04,0.0,20.9,Good
10.4,7.4,5.2,7.8,0.66,3.9,31.6,Good
113.5,159.3,75.3,49.7,1.75,102.8,279.1,Poor
18.7,32.7,26.6,0.0,0.8,18.3,42.7,Good
7.0,37.2,7.2,24.3,0.77,24.6,39.5,Good
66.5,134.5,23.8,22.5,0.82,6.9,122.9,Moderate
76.1,157.8,22.5,0.0,0.38,66.3,152.8,Moderate
23.2,20.8,45.3,4.4,0.51,0.0,61.0,Satisfactory
0.0,0.0,0.0,0.0,0.09,4.0,7.0,Good
133.3,193.4,106.3,38.9,2.28,105.4,313.8,Very Poor
81.9,100.0,62.2,30.1,1.41,48.2,170.3,Moderate
23.9,47.2,2.4,10.6,0.0,3.3,47.1,Good
113.8,137.1,78.0,46.9,2.55,65.2,273.0,Poor
77.1,105.2,44.1,39.9,1.37,72.7,157.4,Moderate
35.4,76.2,110.9,5.2,2.42,59.3,131.8,Moderate
0.0,0.0,3.5,9.3,0.0,30.0,28.8,Good
55.4,79.2,57.4,18.7,1.94,78.7,102.5,Moderate
119.2,154.1,89.5,57.0,2.28,124.9,296.7,Poor
130.7,229.3,91.2,59.8,3.13,127.4,306.9,Very Poor
138.6,215.1,101.1,58.7,2.34,105.4,309.4,Very Poor
34.2,74.0,25.1,17.2,0.27,36.7,65.0,Satisfactory
59.5,103.1,19.0,21.2,0.0,49.9,104.8,Moderate
127.3,263.5,71.4,35.8,2.34,99.4,302.4,Very Poor
46.6,95.6,0.0,13.3,0.16,74.7,98.4,Satisfactory
44.1,88.1,31.0,16.6,1.48,49.6,89.0,Satisfactory
51.3,78.1,11.0,38.1,1.6,47.0,85.8,Satisfactory
37.8,55.7,9.4,17.3,0.76,0.0,60.3,Satisfactory
20.6,28.8,20.3,0.0,0.6,0.0,37.6,Good
68.6,92.8,31.0,20.2,2.08,34.6,120.1,Moderate
66.9,105.3,45.8,37.5,0.63,57.2,123.5,Moderate
51.0,30.1,18.1,18.5,0.35,36.2,86.3,Satisfactory
75.3,93.4,61.2,27.6,1.27,69.5,153.2,Moderate
1.0,8.3,46.0,0.3,0.49,29.2,55.1,Satisfactory
65.1,107.2,10.0,10.0,1.0,28.3,116.9,Moderate
7.4,0.0,16.8,23.5,0.37,19.5,31.5,Good
107.3,171.0,41.0,44.2,1.95,76.1,258.3,Poor
37.0,40.5,11.2,12.1,0.99,33.9,65.4,Satisfactory
55.5,58.3,26.6,18.2,0.41,60.6,95.6,Satisfactory
143.7,216.4,100.8,60.5,3.18,95.4,319.3,Very Poor
140.9,187.8,94.8,25.3,2.06,104.3,315.2,Very Poor
53.8,100.9,40.7,36.5,2.39,55.3,103.0,Moderate
10.5,12.5,9.9,13.4,0.0,41.4,41.6,Good
9.8,16.7,11.4,0.0,1.11,15.8,56.7,Satisfactory
21.6,55.8,40.7,0.0,0.79,22.9,57.1,Satisfactory
27.4,38.3,0.0,14.4,0.18,0.0,44.5,Good
55.5,42.8,47.9,17.1,0.54,44.1,91.1,Satisfactory
28.1,38.7,30.4,13.0,0.63,16.1,48.7,Good
88.5,165.6,37.0,18.5,0.83,55.0,197.8,Moderate
88.3,149.2,47.0,18.2,2.23,41.1,197.1,Moderate
30.1,68.0,5.9,13.1,1.5,2.6,70.4,Satisfactory
4.4,1.9,34.6,15.9,1.05,39.4,56.5,Satisfactory
91.3,124.0,65.5,30.5,2.15,41.4,209.2,Poor
108.5,159.8,44.1,18.6,1.92,44.0,263.8,Poor
61.8,93.6,56.3,16.1,1.14,90.0,108.5,Moderate
41.2,50.9,56.7,1.2,0.93,55.1,67.1,Satisfactory
164.4,300.6,63.0,54.6,2.55,125.4,335.5,Very Poor
27.3,54.6,32.5,20.4,1.37,42.4,68.9,Satisfactory
55.1,78.9,24.4,14.5,0.39,58.5,93.8,Satisfactory
80.8,116.2,37.7,11.8,0.4,52.6,171.6,Moderate
0.0,0.0,29.6,7.3,0.4,26.1,34.4,Good
42.6,43.3,50.6,10.7,0.73,22.4,70.1,Satisfactory
17.4,33.2,31.2,9.4,0.0,0.0,44.0,Good
59.1,94.9,37.9,28.2,1.05,87.0,101.7,Moderate
78.0,157.5,34.3,30.5,2.6,44.7,158.9,Moderate
26.3,51.2,0.0,17.2,1.52,18.9,73.3,Satisfactory
55.1,84.3,28.0,8.1,0.29,51.7,94.7,Satisfactory
101.1,212.6,96.6,58.0,1.97,82.7,236.5,Poor
37.5,84.8,36.6,38.3,1.08,97.6,96.7,Satisfactory
73.8,136.5,22.9,18.3,0.88,23.1,145.5,Moderate
17.0,30.2,10.7,0.0,0.0,7.9,28.1,Good
117.1,163.2,54.0,25.2,0.96,94.0,295.6,Poor
25.3,34.5,35.6,6.7,1.92,58.8,96.8,Satisfactory
62.5,104.2,29.2,22.6,0.91,3.5,106.1,Moderate
13.6,6.1,19.6,20.9,1.5,6.9,76.3,Satisfactory
53.4,111.1,0.0,20.8,0.9,30.6,113.6,Moderate
66.2,104.9,81.9,17.7,1.28,62.1,123.2,Moderate
46.2,57.9,26.8,18.3,1.05,0.0,80.1,Satisfactory
103.4,183.3,59.0,39.5,1.82,63.0,251.4,Poor
35.8,42.9,16.4,7.5,0.05,17.8,64.4,Satisfactory
6.1,13.4,6.2,1.9,0.12,0.0,13.0,Good
30.8,66.8,22.4,14.2,0.25,68.9,74.6,Satisfactory
142.9,191.7,90.6,30.6,2.43,112.6,316.3,Very Poor
13.6,19.7,0.0,0.0,0.0,34.6,28.2,Good
0.0,26.6,6.6,5.4,0.0,4.7,31.1,Good
55.3,82.2,24.8,19.0,0.57,45.2,98.0,Satisfactory
24.1,24.8,28.7,14.5,0.59,7.6,41.1,Good
16.8,49.5,0.0,23.1,0.0,23.7,50.9,Satisfactory
135.2,183.5,107.2,21.8,2.89,60.1,308.8,Very Poor
50.6,62.7,0.0,4.0,1.39,0.0,81.2,Satisfactory
18.4,33.9,59.4,29.9,1.18,18.8,74.1,Satisfactory
74.8,139.9,35.8,39.8,1.72,78.7,153.7,Moderate
34.0,45.1,33.2,39.1,0.0,34.4,58.7,Satisfactory
